City_ID,City Name,Country,City Lat,City Lon,Max Temp,Wind,Date,Humidity,Cloudiness,Description
115,College,US,64.8569,-147.8028,-22.53,0.0,1703717253,79,20,few clouds
116,Crowley,US,30.2141,-92.3746,17.04,1.98,1703717253,60,96,overcast clouds
117,Mejit,MH,10.2753,170.8646,27.29,7.73,1703717253,85,23,light rain
118,Alice Springs,AU,-23.7,133.8833,33.94,8.89,1703717254,10,2,clear sky
119,Invercargill,NZ,-46.4,168.35,19.45,1.34,1703717254,67,15,few clouds
120,San Sebastián de La Gomera,ES,28.0916,-17.1133,20.57,2.05,1703717254,54,66,broken clouds
121,Sinabang,ID,2.4803,96.3801,26.94,0.47,1703717254,82,100,light rain
122,Rio Grande,BR,-32.035,-52.0986,24.06,5.59,1703717254,75,74,broken clouds
123,Obo,CF,5.3998,26.4869,25.47,1.8,1703717255,33,100,overcast clouds
124,Aykhal,RU,66.0,111.5,-33.23,0.74,1703717255,100,18,few clouds
125,Eldorado at Santa Fe,US,35.5264,-105.9347,4.1,2.68,1703717255,39,0,clear sky
126,Lerwick,GB,60.1545,-1.1494,2.0,24.75,1703717255,97,100,moderate rain
127,Syra,GR,37.4423,24.9425,15.82,4.11,1703717256,68,0,clear sky
128,Shache,CN,38.4167,77.2406,-2.14,0.89,1703717256,47,0,clear sky
129,Puerto Deseado,AR,-47.7503,-65.8938,13.42,6.14,1703717256,56,75,broken clouds
130,Dunedin,NZ,-45.8742,170.5036,12.67,1.79,1703717256,91,76,broken clouds
131,Biltine,TD,14.5333,20.9167,19.51,3.88,1703717256,23,52,broken clouds
132,Nikologory,RU,56.1413,41.9922,-13.37,2.95,1703717257,98,99,overcast clouds
133,Dakhla,EH,23.6848,-15.958,19.13,4.72,1703717257,60,2,clear sky
134,Vancleave,US,30.5405,-88.6875,14.38,1.54,1703717257,77,0,clear sky
135,Leamington,CA,42.0549,-82.6062,8.37,0.89,1703717257,100,100,overcast clouds
136,Chonchi,CL,-42.6128,-73.8092,21.56,2.56,1703717257,72,50,scattered clouds
137,San Mariano,PH,7.5,126.0,23.38,1.17,1703717258,94,33,scattered clouds
138,Nago,JP,26.5881,127.9761,20.24,5.5,1703717258,72,98,overcast clouds
139,Tazovsky,RU,67.4667,78.7,-12.59,3.59,1703717258,97,100,overcast clouds
140,Constanța,RO,44.1833,28.65,4.38,3.69,1703717062,85,6,clear sky
141,Chibougamau,CA,49.9168,-74.3659,-6.21,2.06,1703717258,73,100,overcast clouds
142,Regina,CA,50.4501,-104.6178,1.99,2.06,1703717259,60,20,few clouds
143,Alenquer,BR,-1.9417,-54.7383,27.83,0.12,1703717259,69,99,overcast clouds
144,Lagoa da Prata,BR,-20.0225,-45.5436,22.93,2.65,1703717259,86,79,broken clouds
145,Taulaga,AS,-11.0553,-171.0883,28.19,2.29,1703717259,76,98,overcast clouds
146,Amahai,ID,-3.3333,128.9167,27.62,1.1,1703717259,78,90,overcast clouds
147,Arsk,RU,56.0915,49.8778,-13.14,1.81,1703717260,100,97,overcast clouds
148,San Antonio de Palé,GQ,-1.4014,5.6325,27.47,0.67,1703717260,78,94,light rain
149,Margaret River,AU,-33.95,115.0667,15.89,6.01,1703717260,72,8,clear sky
150,Fada,NG,9.5667,8.3,18.78,2.2,1703717260,27,30,scattered clouds
151,Bahía Honda,CU,22.9036,-83.1592,23.11,3.26,1703717260,87,93,overcast clouds
152,Lukolela,CD,-1.0605,17.1821,23.59,1.36,1703717261,79,43,scattered clouds
153,Mistrató,CO,5.2973,-75.8832,18.49,1.41,1703717261,98,64,broken clouds
154,Tatarka,RU,44.9589,41.9517,2.62,11.48,1703717261,78,97,overcast clouds
155,Tinajo,ES,29.0788,-13.7081,15.49,3.6,1703717261,77,0,clear sky
