City_ID,City Name,Country,City Lat,City Lon,Max Temp,Wind,Date,Humidity,Cloudiness,Description,Max Temp (f)
113,Beeville,US,28.4008,-97.7483,18.32,2.81,1703717253,33,14,few clouds,64.976
116,Crowley,US,30.2141,-92.3746,17.04,1.98,1703717253,60,96,overcast clouds,62.672
119,Invercargill,NZ,-46.4,168.35,19.45,1.34,1703717254,67,15,few clouds,67.00999999999999
120,San Sebastián de La Gomera,ES,28.0916,-17.1133,20.57,2.05,1703717254,54,66,broken clouds,69.02600000000001
127,Syra,GR,37.4423,24.9425,15.82,4.11,1703717256,68,0,clear sky,60.476
129,Puerto Deseado,AR,-47.7503,-65.8938,13.42,6.14,1703717256,56,75,broken clouds,56.156
130,Dunedin,NZ,-45.8742,170.5036,12.67,1.79,1703717256,91,76,broken clouds,54.806
131,Biltine,TD,14.5333,20.9167,19.51,3.88,1703717256,23,52,broken clouds,67.118
133,Dakhla,EH,23.6848,-15.958,19.13,4.72,1703717257,60,2,clear sky,66.434
134,Vancleave,US,30.5405,-88.6875,14.38,1.54,1703717257,77,0,clear sky,57.884
136,Chonchi,CL,-42.6128,-73.8092,21.56,2.56,1703717257,72,50,scattered clouds,70.80799999999999
138,Nago,JP,26.5881,127.9761,20.24,5.5,1703717258,72,98,overcast clouds,68.43199999999999
149,Margaret River,AU,-33.95,115.0667,15.89,6.01,1703717260,72,8,clear sky,60.602000000000004
150,Fada,NG,9.5667,8.3,18.78,2.2,1703717260,27,30,scattered clouds,65.804
153,Mistrató,CO,5.2973,-75.8832,18.49,1.41,1703717261,98,64,broken clouds,65.282
155,Tinajo,ES,29.0788,-13.7081,15.49,3.6,1703717261,77,0,clear sky,59.882000000000005
159,Saurimo,AO,-9.6608,20.3916,18.82,1.57,1703717262,99,100,light rain,65.876
162,East London,ZA,-33.0153,27.9116,18.53,6.73,1703717263,85,99,light rain,65.35400000000001
163,Itiruçu,BR,-13.5317,-40.1503,21.69,3.45,1703717263,85,95,overcast clouds,71.042
170,Dawei,MM,14.0833,98.2,20.64,2.41,1703717264,67,11,few clouds,69.152
174,Lompoc,US,34.6391,-120.4579,17.55,2.57,1703717265,72,20,few clouds,63.59
178,Howrah,IN,22.5892,88.3103,17.0,0.0,1703717266,88,2,mist,62.6
179,Massakory,TD,12.996,15.7293,20.08,5.76,1703717266,19,10,clear sky,68.144
182,Gēdo,ET,9.0167,37.45,14.25,1.01,1703717267,61,100,overcast clouds,57.650000000000006
184,Tura,IN,25.5198,90.2201,15.31,1.58,1703717267,82,0,clear sky,59.558
189,Al Mishkhāb,IQ,31.8042,44.4911,13.63,2.04,1703717268,85,100,light rain,56.534000000000006
191,Greymouth,NZ,-42.4667,171.2,19.17,2.09,1703717268,65,100,overcast clouds,66.506
196,Malango,ID,-2.9627,119.9001,21.31,0.43,1703717270,94,100,overcast clouds,70.358
200,Illizi,DZ,26.4833,8.4667,14.89,3.84,1703717270,25,60,broken clouds,58.80200000000001
201,Brandon,US,27.9378,-82.2859,19.77,3.13,1703716971,74,100,overcast clouds,67.586
202,Ancud,CL,-41.8697,-73.8203,16.73,1.63,1703717271,74,55,broken clouds,62.114000000000004
203,Verāval,IN,20.9,70.3667,21.85,4.34,1703717271,41,70,broken clouds,71.33000000000001
206,Salalah,OM,17.0151,54.0924,22.05,1.03,1703717272,53,0,clear sky,71.69
207,Adler,RU,43.43,39.92,12.09,4.0,1703717272,66,100,overcast clouds,53.762
208,Al Ḩāmūl,EG,31.3115,31.1477,15.7,3.99,1703717272,89,53,light rain,60.26
213,Douentza,ML,14.9951,-2.9517,20.77,1.99,1703717273,12,34,scattered clouds,69.386
216,Paso del Macho,MX,18.9667,-96.7167,20.99,1.96,1703717273,87,99,light rain,69.782
219,Rāhuri,IN,19.3833,74.65,18.54,1.9,1703717274,44,88,overcast clouds,65.372
225,Kill Devil Hills,US,36.0307,-75.676,17.0,3.6,1703717276,100,100,overcast clouds,62.6
228,Naze,JP,28.3667,129.4833,16.51,4.2,1703717276,67,59,broken clouds,61.718
229,Murzuk,LY,25.9155,13.9184,12.4,3.24,1703717277,50,11,few clouds,54.32
234,Rāwah,IQ,34.4816,41.9093,13.96,2.18,1703717278,61,100,overcast clouds,57.128
235,Port Elizabeth,ZA,-33.918,25.5701,20.05,2.24,1703717278,88,100,overcast clouds,68.09
236,Jijiga,ET,9.35,42.8,15.83,2.39,1703717278,57,84,broken clouds,60.494
241,Broome,US,42.2506,-75.833,10.39,4.12,1703717279,97,100,overcast clouds,50.702
244,Huarmey,PE,-10.0681,-78.1522,22.22,2.37,1703717280,83,99,overcast clouds,71.99600000000001
246,Rāy,IN,23.6833,85.05,13.43,0.8,1703717280,70,0,clear sky,56.174
247,Castillos,UY,-34.1667,-53.8333,20.15,3.84,1703717280,71,6,clear sky,68.27
254,Sidi Ifni,MA,29.3797,-10.173,17.18,2.34,1703717282,41,1,clear sky,62.924
255,Milas,TR,37.3164,27.7839,15.26,1.54,1703717282,100,0,clear sky,59.468
257,Trujillo,PE,-8.116,-79.03,21.98,3.09,1703717282,88,100,overcast clouds,71.564
258,New Norfolk,AU,-42.7826,147.0587,19.72,0.79,1703717282,57,42,scattered clouds,67.49600000000001
261,La Passe,FR,45.5549,-0.8967,10.89,3.56,1703717283,81,100,moderate rain,51.602000000000004
265,Mendi,PG,-6.1761,143.6513,17.56,0.77,1703717284,82,96,overcast clouds,63.608
267,Saint Lawrence,MT,36.0553,14.204,12.67,1.86,1703717284,65,17,few clouds,54.806
275,Menongue,AO,-14.6585,17.691,18.37,2.8,1703717286,86,75,broken clouds,65.066
283,Horta,PT,38.5333,-28.6333,12.79,1.34,1703717288,82,56,broken clouds,55.022
284,Finisterra,ES,42.9049,-9.2629,13.75,3.96,1703717288,95,100,light rain,56.75
287,Leiston,GB,52.2061,1.5776,10.46,12.3,1703717289,82,100,overcast clouds,50.828
